TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
----------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Maintenance MaintenanceID                                                                                                                    int                                                                                                                                                  NULL NO         
Maintenance Date                                                                                                                             nvarchar                                                                                                                                               50 YES        
Maintenance VehicleID                                                                                                                        int                                                                                                                                                  NULL YES        
Maintenance OdometerReading                                                                                                                  int                                                                                                                                                  NULL NO         
Maintenance MaintenanceCompleted                                                                                                             nvarchar                                                                                                                                               -1 YES        
Maintenance Vendor                                                                                                                           nvarchar                                                                                                                                              200 YES        
Maintenance RepairCost                                                                                                                       float                                                                                                                                                NULL YES        
Maintenance Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        
Maintenance CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Maintenance CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL NO         
Maintenance LaborCost                                                                                                                        decimal                                                                                                                                              NULL YES        
Maintenance LaborHours                                                                                                                       decimal                                                                                                                                              NULL YES        
Maintenance PartsUsed                                                                                                                        nvarchar                                                                                                                                             1000 YES        
Maintenance Priority                                                                                                                         nvarchar                                                                                                                                               20 NO         
Maintenance UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Maintenance UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Maintenance Warranty                                                                                                                         bit                                                                                                                                                  NULL NO         
Maintenance WarrantyExpiry                                                                                                                   datetime2                                                                                                                                            NULL YES        
Maintenance Description                                                                                                                      nvarchar                                                                                                                                              100 YES        
Maintenance NextServiceDue                                                                                                                   datetime2                                                                                                                                            NULL YES        
Maintenance NextServiceOdometer                                                                                                              int                                                                                                                                                  NULL YES        
Maintenance PartsCost                                                                                                                        decimal                                                                                                                                              NULL YES        
Maintenance PerformedBy                                                                                                                      nvarchar                                                                                                                                              100 YES        
Maintenance Status                                                                                                                           nvarchar                                                                                                                                              100 YES        
Maintenance WorkOrderNumber                                                                                                                  nvarchar                                                                                                                                              100 YES        

(25 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
